Datum,Vodostaj_Bileca,Dotok_Prethodni_Dan,Padavine_Trebinje,Temperatura_Vazduha,Doba_Godine,Pritisak_Mreze,Angazovani_Agregati,Preliv_Status,Padavine_Sutra,Padavine_Za2Dana,Promjena_Vodostaja
11.01.2008.,380.77,36.58,4.72,2.7,Zima,Srednje,1,0,0.0,5.13,-0.02
12.01.2008.,380.74,27.28,0.0,1.2,Zima,Nisko,1,0,5.13,0.56,-0.03
13.01.2008.,380.75,29.28,5.13,-0.6,Zima,Srednje,1,0,0.56,24.83,0.01
14.01.2008.,380.69,23.74,0.56,2.9,Zima,Srednje,1,0,24.83,27.21,-0.06
15.01.2008.,380.65,53.38,24.83,0.5,Zima,Srednje,1,0,27.21,0.0,-0.04
16.01.2008.,380.64,79.02,27.21,4.1,Zima,Visoko,2,0,0.0,0.0,-0.01
17.01.2008.,380.58,62.6,0.0,4.1,Zima,Srednje,2,0,0.0,7.67,-0.06
18.01.2008.,380.49,53.12,0.0,1.5,Zima,Visoko,2,0,7.67,0.0,-0.09
19.01.2008.,380.42,52.9,7.67,2.5,Zima,Visoko,2,0,0.0,0.0,-0.07
20.01.2008.,380.33,41.23,0.0,3.1,Zima,Visoko,2,0,0.0,0.0,-0.09
21.01.2008.,380.28,29.99,0.0,7.2,Zima,Srednje,1,0,0.0,0.0,-0.05
22.01.2008.,380.24,22.33,0.0,3.4,Zima,Visoko,1,0,0.0,0.0,-0.04
23.01.2008.,380.21,21.56,0.0,7.3,Zima,Visoko,1,0,0.0,2.06,-0.03
24.01.2008.,380.12,15.85,0.0,6.3,Zima,Visoko,2,0,2.06,0.0,-0.09
25.01.2008.,380.13,16.31,2.06,6.3,Zima,Nisko,0,0,0.0,7.96,0.01
26.01.2008.,380.05,12.29,0.0,9.6,Zima,Visoko,2,0,7.96,7.57,-0.08
27.01.2008.,379.96,21.76,7.96,-0.5,Zima,Visoko,2,0,7.57,0.0,-0.09
28.01.2008.,379.89,33.19,7.57,2.1,Zima,Nisko,1,0,0.0,6.84,-0.07
29.01.2008.,379.82,34.48,0.0,11.1,Zima,Visoko,2,0,6.84,0.0,-0.07
30.01.2008.,379.78,34.79,6.84,3.0,Zima,Visoko,1,0,0.0,21.0,-0.04
31.01.2008.,379.7,25.61,0.0,-5.0,Zima,Visoko,2,0,21.0,0.0,-0.08
01.02.2008.,379.7,48.97,21.0,3.2,Zima,Nisko,1,0,0.0,0.0,0.0
02.02.2008.,379.7,40.27,0.0,4.5,Zima,Visoko,1,0,0.0,0.0,0.0
03.02.2008.,379.67,31.16,0.0,-5.0,Zima,Nisko,1,0,0.0,0.0,-0.03
04.02.2008.,379.62,22.93,0.0,9.3,Zima,Visoko,1,0,0.0,0.0,-0.05
05.02.2008.,379.66,16.71,0.0,1.1,Zima,Nisko,0,0,0.0,0.74,0.04
06.02.2008.,379.62,16.0,0.0,5.3,Zima,Nisko,1,0,0.74,12.38,-0.04
07.02.2008.,379.61,16.82,0.74,3.1,Zima,Srednje,1,0,12.38,15.51,-0.01
08.02.2008.,379.58,35.87,12.38,-1.2,Zima,Visoko,1,0,15.51,0.0,-0.03
09.02.2008.,379.48,48.38,15.51,-0.3,Zima,Visoko,2,0,0.0,0.0,-0.1
10.02.2008.,379.47,35.59,0.0,0.3,Zima,Nisko,1,0,0.0,15.52,-0.01
11.02.2008.,379.45,26.1,0.0,8.3,Zima,Nisko,1,0,15.52,2.86,-0.02
12.02.2008.,379.44,46.46,15.52,3.4,Zima,Srednje,1,0,2.86,1.17,-0.01
13.02.2008.,379.36,40.07,2.86,1.9,Zima,Visoko,2,0,1.17,31.14,-0.08
14.02.2008.,379.37,30.63,1.17,0.3,Zima,Srednje,1,0,31.14,0.0,0.01
15.02.2008.,379.37,68.63,31.14,8.8,Zima,Srednje,1,0,0.0,0.36,0.0
16.02.2008.,379.31,51.42,0.0,9.9,Zima,Visoko,2,0,0.36,0.0,-0.06
17.02.2008.,379.29,42.17,0.36,8.7,Zima,Srednje,1,0,0.0,0.0,-0.02
18.02.2008.,379.26,34.3,0.0,6.0,Zima,Srednje,1,0,0.0,24.18,-0.03
19.02.2008.,379.23,26.42,0.0,5.2,Zima,Srednje,1,0,24.18,5.78,-0.03
20.02.2008.,379.17,55.04,24.18,-0.9,Zima,Visoko,2,0,5.78,26.46,-0.06
21.02.2008.,379.09,48.17,5.78,3.0,Zima,Visoko,2,0,26.46,0.0,-0.08
22.02.2008.,379.05,80.17,26.46,1.3,Zima,Visoko,2,0,0.0,0.79,-0.04
23.02.2008.,379.06,58.71,0.0,-3.3,Zima,Srednje,1,0,0.79,2.89,0.01
24.02.2008.,379.02,43.77,0.79,8.2,Zima,Srednje,1,0,2.89,0.0,-0.04
25.02.2008.,378.95,35.68,2.89,1.2,Zima,Nisko,1,0,0.0,0.0,-0.07
26.02.2008.,378.82,25.95,0.0,8.8,Zima,Visoko,2,0,0.0,4.22,-0.13
27.02.2008.,378.78,32.57,0.0,7.5,Zima,Visoko,2,0,4.22,0.0,-0.04
28.02.2008.,378.67,32.5,4.22,6.2,Zima,Visoko,2,0,0.0,76.79,-0.11
29.02.2008.,378.63,24.46,0.0,6.5,Zima,Srednje,1,0,76.79,0.0,-0.04
01.03.2008.,378.84,450.0,76.79,11.5,Proljece,Srednje,3,1,0.0,0.0,0.21
02.03.2008.,379.05,371.15,0.0,21.4,Proljece,Srednje,2,0,0.0,0.0,0.21
03.03.2008.,379.26,294.06,0.0,14.2,Proljece,Srednje,2,0,0.0,0.0,0.21
04.03.2008.,379.36,239.56,0.0,15.2,Proljece,Srednje,2,0,0.0,57.77,0.1
05.03.2008.,379.34,192.98,0.0,11.4,Proljece,Visoko,3,0,57.77,14.37,-0.02
06.03.2008.,379.58,450.0,57.77,10.3,Proljece,Visoko,3,0,14.37,26.7,0.24
07.03.2008.,379.84,437.69,14.37,15.9,Proljece,Srednje,2,0,26.7,32.94,0.26
08.03.2008.,380.1,450.0,26.7,14.9,Proljece,Nisko,2,0,32.94,30.12,0.26
09.03.2008.,380.36,450.0,32.94,10.8,Proljece,Visoko,3,0,30.12,0.0,0.26
10.03.2008.,380.61,450.0,30.12,8.2,Proljece,Srednje,2,0,0.0,25.71,0.25
11.03.2008.,380.78,333.52,0.0,8.9,Proljece,Srednje,2,0,25.71,8.22,0.17
12.03.2008.,381.04,418.33,25.71,18.8,Proljece,Nisko,2,0,8.22,27.97,0.26
13.03.2008.,381.23,362.8,8.22,11.5,Proljece,Nisko,2,0,27.97,0.0,0.19
14.03.2008.,381.48,433.99,27.97,12.6,Proljece,Nisko,2,1,0.0,0.0,0.25
15.03.2008.,381.66,353.91,0.0,19.8,Proljece,Srednje,2,0,0.0,47.61,0.18
16.03.2008.,381.81,266.53,0.0,9.5,Proljece,Nisko,2,0,47.61,0.0,0.15
17.03.2008.,382.1,450.0,47.61,11.1,Proljece,Nisko,2,1,0.0,0.0,0.29
18.03.2008.,382.29,340.77,0.0,10.9,Proljece,Srednje,2,1,0.0,2.76,0.19
19.03.2008.,382.43,291.09,0.0,20.5,Proljece,Srednje,2,0,2.76,0.0,0.14
20.03.2008.,382.55,275.0,2.76,22.0,Proljece,Nisko,2,0,0.0,0.0,0.12
21.03.2008.,382.64,231.4,0.0,17.0,Proljece,Nisko,2,0,0.0,0.0,0.09
22.03.2008.,382.71,203.41,0.0,17.1,Proljece,Nisko,2,0,0.0,0.0,0.07
23.03.2008.,382.73,164.76,0.0,11.7,Proljece,Srednje,2,0,0.0,0.0,0.02
24.03.2008.,382.78,166.45,0.0,21.8,Proljece,Nisko,2,0,0.0,0.0,0.05
25.03.2008.,382.82,148.27,0.0,15.1,Proljece,Srednje,2,0,0.0,0.0,0.04
26.03.2008.,382.82,141.28,0.0,17.4,Proljece,Nisko,2,0,0.0,0.0,0.0
27.03.2008.,382.89,127.24,0.0,13.6,Proljece,Nisko,1,0,0.0,0.0,0.07
28.03.2008.,382.89,114.54,0.0,12.9,Proljece,Srednje,2,0,0.0,0.0,0.0
29.03.2008.,382.92,127.16,0.0,20.7,Proljece,Nisko,1,0,0.0,5.18,0.03
30.03.2008.,382.92,123.0,0.0,16.2,Proljece,Nisko,2,0,5.18,0.0,0.0
31.03.2008.,382.98,161.5,5.18,19.8,Proljece,Srednje,2,0,0.0,0.0,0.06
01.04.2008.,383.0,144.78,0.0,15.0,Proljece,Srednje,2,0,0.0,0.0,0.02
02.04.2008.,382.99,122.11,0.0,10.6,Proljece,Srednje,2,0,0.0,27.55,-0.01
03.04.2008.,382.94,105.22,0.0,11.7,Proljece,Nisko,2,0,27.55,26.93,-0.05
04.04.2008.,382.98,251.29,27.55,14.4,Proljece,Visoko,3,0,26.93,1.65,0.04
05.04.2008.,383.14,343.4,26.93,11.5,Proljece,Visoko,3,0,1.65,0.0,0.16
06.04.2008.,383.23,271.82,1.65,9.6,Proljece,Srednje,2,0,0.0,0.0,0.09
07.04.2008.,383.31,235.98,0.0,18.8,Proljece,Srednje,2,0,0.0,0.0,0.08
08.04.2008.,383.34,192.34,0.0,11.8,Proljece,Visoko,3,0,0.0,0.0,0.03
09.04.2008.,383.34,168.57,0.0,14.6,Proljece,Nisko,2,0,0.0,1.54,0.0
10.04.2008.,383.36,151.87,0.0,15.2,Proljece,Nisko,2,0,1.54,60.92,0.02
11.04.2008.,383.38,134.68,1.54,11.6,Proljece,Nisko,2,0,60.92,0.0,0.02
12.04.2008.,383.61,450.0,60.92,19.8,Proljece,Visoko,3,0,0.0,0.0,0.23
13.04.2008.,383.79,334.98,0.0,9.5,Proljece,Nisko,2,0,0.0,0.0,0.18
14.04.2008.,383.85,268.75,0.0,15.0,Proljece,Visoko,3,0,0.0,0.0,0.06
15.04.2008.,383.91,220.95,0.0,15.0,Proljece,Srednje,3,0,0.0,0.0,0.06
16.04.2008.,383.89,184.56,0.0,13.8,Proljece,Visoko,3,0,0.0,0.0,-0.02
17.04.2008.,383.89,142.82,0.0,8.8,Proljece,Visoko,3,0,0.0,0.0,0.0
18.04.2008.,383.89,143.77,0.0,17.5,Proljece,Visoko,3,0,0.0,0.0,0.0
19.04.2008.,383.88,137.06,0.0,17.0,Proljece,Srednje,2,0,0.0,38.05,-0.01
20.04.2008.,383.83,121.81,0.0,11.3,Proljece,Visoko,3,0,38.05,5.08,-0.05
21.04.2008.,383.95,327.1,38.05,16.8,Proljece,Visoko,3,0,5.08,0.0,0.12
22.04.2008.,384.07,293.71,5.08,15.5,Proljece,Srednje,3,1,0.0,2.64,0.12
23.04.2008.,384.16,220.74,0.0,8.9,Proljece,Srednje,2,0,2.64,0.0,0.09
24.04.2008.,384.16,189.0,2.64,10.6,Proljece,Srednje,2,0,0.0,33.88,0.0
25.04.2008.,384.22,177.57,0.0,18.6,Proljece,Srednje,2,0,33.88,0.0,0.06
26.04.2008.,384.38,340.52,33.88,15.2,Proljece,Srednje,3,0,0.0,0.0,0.16
27.04.2008.,384.5,264.41,0.0,11.7,Proljece,Nisko,2,0,0.0,0.0,0.12
28.04.2008.,384.55,205.55,0.0,10.6,Proljece,Srednje,3,0,0.0,0.0,0.05
29.04.2008.,384.58,165.85,0.0,11.9,Proljece,Nisko,2,0,0.0,0.0,0.03
30.04.2008.,384.6,138.98,0.0,12.2,Proljece,Srednje,2,0,0.0,0.0,0.02
01.05.2008.,384.59,118.43,0.0,10.6,Proljece,Srednje,2,0,0.0,0.0,-0.01
02.05.2008.,384.49,89.62,0.0,7.0,Proljece,Visoko,3,0,0.0,30.18,-0.1
03.05.2008.,384.52,102.95,0.0,18.6,Proljece,Nisko,1,0,30.18,12.5,0.03
04.05.2008.,384.58,275.73,30.18,17.9,Proljece,Visoko,3,0,12.5,0.0,0.06
05.05.2008.,384.67,277.48,12.5,8.9,Proljece,Visoko,3,0,0.0,0.0,0.09
06.05.2008.,384.8,229.69,0.0,14.5,Proljece,Srednje,2,0,0.0,0.0,0.13
07.05.2008.,384.8,181.88,0.0,10.4,Proljece,Nisko,2,0,0.0,0.0,0.0
08.05.2008.,384.85,153.7,0.0,13.0,Proljece,Nisko,2,0,0.0,37.35,0.05
09.05.2008.,384.85,135.51,0.0,12.6,Proljece,Srednje,2,0,37.35,0.0,0.0
10.05.2008.,384.95,321.2,37.35,12.3,Proljece,Nisko,3,0,0.0,0.0,0.1
11.05.2008.,385.05,279.34,0.0,22.0,Proljece,Srednje,2,0,0.0,2.49,0.1
12.05.2008.,385.08,220.13,0.0,12.2,Proljece,Visoko,3,0,2.49,0.0,0.03
13.05.2008.,385.14,186.56,2.49,10.8,Proljece,Nisko,2,0,0.0,0.0,0.06
14.05.2008.,385.18,150.46,0.0,10.9,Proljece,Srednje,2,0,0.0,161.53,0.04
15.05.2008.,385.1,145.56,0.0,18.2,Proljece,Visoko,3,0,161.53,0.0,-0.08
16.05.2008.,385.34,450.0,161.53,7.4,Proljece,Visoko,3,0,0.0,58.6,0.24
17.05.2008.,385.51,343.9,0.0,10.9,Proljece,Visoko,3,1,58.6,0.0,0.17
18.05.2008.,385.75,450.0,58.6,19.8,Proljece,Visoko,3,0,0.0,0.0,0.24
19.05.2008.,385.96,356.03,0.0,15.0,Proljece,Srednje,2,1,0.0,0.0,0.21
20.05.2008.,386.04,283.99,0.0,14.8,Proljece,Visoko,3,0,0.0,6.58,0.08
21.05.2008.,386.12,255.59,0.0,22.5,Proljece,Visoko,3,0,6.58,13.42,0.08
22.05.2008.,386.24,251.64,6.58,15.0,Proljece,Srednje,2,0,13.42,17.98,0.12
23.05.2008.,386.29,273.42,13.42,11.2,Proljece,Srednje,3,0,17.98,58.99,0.05
24.05.2008.,386.48,316.99,17.98,12.9,Proljece,Nisko,2,0,58.99,66.43,0.19
25.05.2008.,386.72,450.0,58.99,9.5,Proljece,Nisko,3,0,66.43,0.0,0.24
26.05.2008.,386.95,450.0,66.43,19.0,Proljece,Nisko,2,0,0.0,4.98,0.23
27.05.2008.,387.1,355.73,0.0,16.3,Proljece,Srednje,3,0,4.98,0.0,0.15
28.05.2008.,387.23,323.13,4.98,18.5,Proljece,Srednje,3,0,0.0,0.0,0.13
29.05.2008.,387.36,276.34,0.0,18.9,Proljece,Srednje,2,0,0.0,0.0,0.13
30.05.2008.,387.4,219.41,0.0,12.3,Proljece,Nisko,2,0,0.0,0.0,0.04
31.05.2008.,387.42,173.95,0.0,10.2,Proljece,Srednje,2,0,0.0,0.64,0.02
01.06.2008.,387.45,129.1,0.0,31.8,Ljeto,Nisko,2,0,0.64,2.22,0.03
02.06.2008.,387.47,95.62,0.64,28.5,Ljeto,Nisko,1,0,2.22,0.0,0.02
03.06.2008.,387.45,70.64,2.22,32.7,Ljeto,Srednje,2,0,0.0,0.0,-0.02
04.06.2008.,387.43,53.53,0.0,36.5,Ljeto,Srednje,1,0,0.0,9.31,-0.02
05.06.2008.,387.42,39.29,0.0,31.3,Ljeto,Nisko,1,0,9.31,20.99,-0.01
06.06.2008.,387.34,36.14,9.31,32.6,Ljeto,Srednje,2,0,20.99,0.0,-0.08
07.06.2008.,387.32,46.7,20.99,31.6,Ljeto,Srednje,1,0,0.0,0.0,-0.02
08.06.2008.,387.26,34.04,0.0,35.2,Ljeto,Srednje,1,0,0.0,2.91,-0.06
09.06.2008.,387.22,24.89,0.0,29.3,Ljeto,Srednje,1,0,2.91,0.0,-0.04
10.06.2008.,387.15,26.02,2.91,23.2,Ljeto,Nisko,1,0,0.0,0.0,-0.07
11.06.2008.,387.14,21.64,0.0,33.9,Ljeto,Srednje,1,0,0.0,3.77,-0.01
12.06.2008.,387.05,16.62,0.0,36.0,Ljeto,Visoko,2,0,3.77,0.0,-0.09
13.06.2008.,386.99,15.57,3.77,33.8,Ljeto,Srednje,1,0,0.0,0.0,-0.06
14.06.2008.,386.91,11.66,0.0,29.4,Ljeto,Visoko,1,0,0.0,3.72,-0.08
15.06.2008.,386.85,9.18,0.0,27.5,Ljeto,Srednje,1,0,3.72,0.0,-0.06
16.06.2008.,386.82,11.31,3.72,34.0,Ljeto,Srednje,1,0,0.0,0.11,-0.03
17.06.2008.,386.73,11.41,0.0,32.6,Ljeto,Visoko,2,0,0.11,0.0,-0.09
18.06.2008.,386.61,8.82,0.11,31.5,Ljeto,Visoko,2,0,0.0,3.65,-0.12
19.06.2008.,386.48,10.08,0.0,39.3,Ljeto,Visoko,2,0,3.65,0.0,-0.13
20.06.2008.,386.42,9.92,3.65,28.2,Ljeto,Srednje,1,0,0.0,3.69,-0.06
21.06.2008.,386.39,7.78,0.0,39.1,Ljeto,Visoko,1,0,3.69,5.84,-0.03
22.06.2008.,386.3,11.66,3.69,32.1,Ljeto,Srednje,1,0,5.84,2.95,-0.09
23.06.2008.,386.21,12.88,5.84,24.7,Ljeto,Visoko,2,0,2.95,0.0,-0.09
24.06.2008.,386.13,12.38,2.95,31.3,Ljeto,Nisko,1,0,0.0,0.0,-0.08
25.06.2008.,386.07,10.09,0.0,35.8,Ljeto,Srednje,1,0,0.0,0.0,-0.06
26.06.2008.,385.99,8.51,0.0,30.5,Ljeto,Visoko,2,0,0.0,3.17,-0.08
27.06.2008.,385.94,8.51,0.0,26.1,Ljeto,Nisko,1,0,3.17,0.0,-0.05
28.06.2008.,385.92,14.47,3.17,31.3,Ljeto,Srednje,1,0,0.0,0.0,-0.02
29.06.2008.,385.82,16.9,0.0,28.6,Ljeto,Visoko,2,0,0.0,0.0,-0.1
30.06.2008.,385.77,12.49,0.0,34.0,Ljeto,Srednje,1,0,0.0,0.0,-0.05
01.07.2008.,385.73,12.35,0.0,35.1,Ljeto,Srednje,1,0,0.0,0.11,-0.04
02.07.2008.,385.67,18.98,0.0,27.8,Ljeto,Srednje,1,0,0.11,12.49,-0.06
03.07.2008.,385.63,13.88,0.11,29.2,Ljeto,Srednje,1,0,12.49,0.0,-0.04
04.07.2008.,385.57,19.64,12.49,35.0,Ljeto,Nisko,1,0,0.0,0.0,-0.06
05.07.2008.,385.54,14.68,0.0,28.6,Ljeto,Nisko,0,0,0.0,0.0,-0.03
06.07.2008.,385.47,11.38,0.0,27.7,Ljeto,Nisko,1,0,0.0,3.52,-0.07
07.07.2008.,385.43,11.96,0.0,27.3,Ljeto,Srednje,1,0,3.52,0.0,-0.04
08.07.2008.,385.39,22.51,3.52,33.4,Ljeto,Nisko,1,0,0.0,0.0,-0.04
09.07.2008.,385.37,17.21,0.0,33.2,Ljeto,Srednje,1,0,0.0,0.96,-0.02
10.07.2008.,385.35,13.38,0.0,29.3,Ljeto,Srednje,1,0,0.96,0.0,-0.02
11.07.2008.,385.26,10.37,0.96,32.0,Ljeto,Visoko,1,0,0.0,3.79,-0.09
12.07.2008.,385.21,8.3,0.0,38.1,Ljeto,Nisko,1,0,3.79,4.0,-0.05
13.07.2008.,385.16,10.47,3.79,28.1,Ljeto,Srednje,1,0,4.0,2.47,-0.05
14.07.2008.,385.13,11.42,4.0,24.2,Ljeto,Srednje,1,0,2.47,10.75,-0.03
15.07.2008.,385.04,14.28,2.47,33.8,Ljeto,Visoko,2,0,10.75,0.88,-0.09
16.07.2008.,384.97,27.16,10.75,31.6,Ljeto,Srednje,2,0,0.88,0.0,-0.07
17.07.2008.,384.86,21.5,0.88,29.2,Ljeto,Visoko,2,0,0.0,0.0,-0.11
18.07.2008.,384.89,15.97,0.0,34.6,Ljeto,Nisko,0,0,0.0,0.0,0.03
19.07.2008.,384.8,12.5,0.0,35.4,Ljeto,Srednje,1,0,0.0,0.0,-0.09
20.07.2008.,384.72,10.57,0.0,23.2,Ljeto,Srednje,1,0,0.0,3.9,-0.08
21.07.2008.,384.58,8.05,0.0,29.4,Ljeto,Visoko,2,0,3.9,0.0,-0.14
22.07.2008.,384.55,9.16,3.9,41.3,Ljeto,Srednje,1,0,0.0,0.37,-0.03
23.07.2008.,384.49,11.85,0.0,34.3,Ljeto,Srednje,1,0,0.37,0.0,-0.06
24.07.2008.,384.42,8.92,0.37,34.7,Ljeto,Nisko,1,0,0.0,0.0,-0.07
25.07.2008.,384.39,7.54,0.0,36.7,Ljeto,Srednje,1,0,0.0,0.0,-0.03
26.07.2008.,384.34,7.14,0.0,32.1,Ljeto,Nisko,1,0,0.0,0.0,-0.05
27.07.2008.,384.35,13.93,0.0,35.2,Ljeto,Nisko,0,0,0.0,0.0,0.01
28.07.2008.,384.33,13.65,0.0,34.9,Ljeto,Nisko,1,0,0.0,0.0,-0.02
29.07.2008.,384.26,14.95,0.0,34.2,Ljeto,Visoko,1,0,0.0,0.06,-0.07
30.07.2008.,384.24,11.49,0.0,30.7,Ljeto,Srednje,1,0,0.06,4.86,-0.02
31.07.2008.,384.14,9.38,0.06,32.7,Ljeto,Visoko,2,0,4.86,11.88,-0.1
01.08.2008.,384.07,10.4,4.86,29.6,Ljeto,Visoko,2,0,11.88,0.0,-0.07
02.08.2008.,384.0,19.63,11.88,32.1,Ljeto,Visoko,2,0,0.0,0.0,-0.07
03.08.2008.,383.95,16.73,0.0,27.3,Ljeto,Visoko,2,0,0.0,2.7,-0.05
04.08.2008.,383.92,15.01,0.0,28.8,Ljeto,Visoko,1,0,2.7,4.79,-0.03
05.08.2008.,383.89,13.0,2.7,30.9,Ljeto,Srednje,1,0,4.79,11.81,-0.03
06.08.2008.,383.84,13.0,4.79,28.2,Ljeto,Nisko,1,0,11.81,5.6,-0.05
07.08.2008.,383.79,19.66,11.81,30.0,Ljeto,Srednje,1,0,5.6,0.0,-0.05
08.08.2008.,383.75,18.61,5.6,31.3,Ljeto,Srednje,1,0,0.0,0.22,-0.04
09.08.2008.,383.7,14.67,0.0,33.6,Ljeto,Nisko,1,0,0.22,0.0,-0.05
10.08.2008.,383.69,15.61,0.22,35.8,Ljeto,Srednje,1,0,0.0,1.3,-0.01
11.08.2008.,383.64,15.85,0.0,30.1,Ljeto,Srednje,1,0,1.3,0.0,-0.05
12.08.2008.,383.57,13.24,1.3,37.3,Ljeto,Visoko,1,0,0.0,0.0,-0.07
13.08.2008.,383.54,12.59,0.0,35.8,Ljeto,Srednje,1,0,0.0,3.05,-0.03
14.08.2008.,383.49,9.79,0.0,34.0,Ljeto,Srednje,1,0,3.05,1.2,-0.05
15.08.2008.,383.44,10.33,3.05,32.6,Ljeto,Srednje,1,0,1.2,6.28,-0.05
16.08.2008.,383.4,8.66,1.2,33.3,Ljeto,Srednje,1,0,6.28,0.0,-0.04
17.08.2008.,383.35,13.23,6.28,36.7,Ljeto,Visoko,1,0,0.0,0.0,-0.05
18.08.2008.,383.28,10.57,0.0,36.9,Ljeto,Nisko,1,0,0.0,0.0,-0.07
19.08.2008.,383.21,9.86,0.0,37.3,Ljeto,Srednje,1,0,0.0,4.56,-0.07
20.08.2008.,383.16,7.46,0.0,32.2,Ljeto,Srednje,1,0,4.56,1.59,-0.05
21.08.2008.,383.17,14.53,4.56,34.2,Ljeto,Srednje,1,0,1.59,6.39,0.01
22.08.2008.,383.12,12.75,1.59,37.4,Ljeto,Srednje,1,0,6.39,14.83,-0.05
23.08.2008.,383.05,20.51,6.39,29.5,Ljeto,Nisko,1,0,14.83,0.0,-0.07
24.08.2008.,383.02,27.53,14.83,30.7,Ljeto,Nisko,1,0,0.0,0.0,-0.03
25.08.2008.,382.97,21.86,0.0,32.1,Ljeto,Srednje,1,0,0.0,5.75,-0.05
26.08.2008.,382.88,17.48,0.0,35.6,Ljeto,Visoko,2,0,5.75,1.02,-0.09
27.08.2008.,382.81,20.67,5.75,35.7,Ljeto,Srednje,1,0,1.02,0.0,-0.07
28.08.2008.,382.74,18.72,1.02,31.1,Ljeto,Nisko,1,0,0.0,0.0,-0.07
29.08.2008.,382.74,14.27,0.0,26.0,Ljeto,Srednje,0,0,0.0,0.0,0.0
30.08.2008.,382.72,12.12,0.0,33.0,Ljeto,Nisko,0,0,0.0,21.06,-0.02
31.08.2008.,382.69,10.34,0.0,28.3,Ljeto,Visoko,1,0,21.06,0.0,-0.03
01.09.2008.,382.63,60.85,21.06,6.0,Jesen,Srednje,2,0,0.0,0.0,-0.06
02.09.2008.,382.57,44.62,0.0,6.9,Jesen,Visoko,2,0,0.0,0.0,-0.06
03.09.2008.,382.56,33.38,0.0,13.3,Jesen,Srednje,1,0,0.0,0.0,-0.01
04.09.2008.,382.47,27.07,0.0,17.4,Jesen,Visoko,2,0,0.0,36.96,-0.09
05.09.2008.,382.42,21.72,0.0,12.2,Jesen,Srednje,1,0,36.96,0.0,-0.05
06.09.2008.,382.42,109.67,36.96,12.8,Jesen,Nisko,2,0,0.0,35.0,0.0
07.09.2008.,382.41,82.05,0.0,16.7,Jesen,Nisko,1,0,35.0,3.11,-0.01
08.09.2008.,382.4,147.61,35.0,5.8,Jesen,Srednje,2,0,3.11,7.28,-0.01
09.09.2008.,382.44,114.38,3.11,14.1,Jesen,Srednje,1,0,7.28,0.0,0.04
10.09.2008.,382.41,101.2,7.28,12.0,Jesen,Srednje,2,0,0.0,0.0,-0.03
11.09.2008.,382.38,74.22,0.0,14.3,Jesen,Visoko,2,0,0.0,0.0,-0.03
12.09.2008.,382.41,53.76,0.0,10.1,Jesen,Nisko,1,0,0.0,0.0,0.03
13.09.2008.,382.37,40.49,0.0,8.7,Jesen,Nisko,1,0,0.0,0.0,-0.04
14.09.2008.,382.27,31.6,0.0,12.6,Jesen,Visoko,2,0,0.0,0.0,-0.1
15.09.2008.,382.22,26.32,0.0,18.6,Jesen,Srednje,1,0,0.0,32.08,-0.05
16.09.2008.,382.12,25.98,0.0,15.4,Jesen,Visoko,2,0,32.08,0.0,-0.1
17.09.2008.,382.13,102.77,32.08,10.0,Jesen,Srednje,2,0,0.0,29.98,0.01
18.09.2008.,382.15,75.16,0.0,6.6,Jesen,Srednje,1,0,29.98,2.44,0.02
19.09.2008.,382.19,132.4,29.98,5.3,Jesen,Nisko,2,0,2.44,44.67,0.04
20.09.2008.,382.18,104.96,2.44,17.3,Jesen,Visoko,2,0,44.67,6.2,-0.01
21.09.2008.,382.24,192.22,44.67,8.2,Jesen,Visoko,2,0,6.2,0.0,0.06
22.09.2008.,382.24,154.04,6.2,10.7,Jesen,Visoko,2,0,0.0,11.0,0.0
23.09.2008.,382.31,111.34,0.0,17.3,Jesen,Srednje,1,0,11.0,0.0,0.07
24.09.2008.,382.26,108.89,11.0,5.5,Jesen,Visoko,2,0,0.0,0.0,-0.05
25.09.2008.,382.29,83.67,0.0,18.0,Jesen,Srednje,1,0,0.0,30.43,0.03
26.09.2008.,382.27,70.55,0.0,11.0,Jesen,Srednje,1,0,30.43,0.0,-0.02
27.09.2008.,382.27,128.37,30.43,7.4,Jesen,Visoko,2,0,0.0,6.14,0.0
28.09.2008.,382.28,98.91,0.0,11.0,Jesen,Nisko,1,0,6.14,21.46,0.01
29.09.2008.,382.29,87.4,6.14,9.1,Jesen,Nisko,1,0,21.46,44.88,0.01
30.09.2008.,382.28,117.65,21.46,13.8,Jesen,Srednje,2,0,44.88,0.0,-0.01
01.10.2008.,382.31,200.69,44.88,9.4,Jesen,Visoko,3,0,0.0,2.17,0.03
02.10.2008.,382.38,144.7,0.0,4.4,Jesen,Srednje,1,0,2.17,20.86,0.07
03.10.2008.,382.4,110.33,2.17,11.1,Jesen,Srednje,1,0,20.86,4.48,0.02
04.10.2008.,382.42,132.28,20.86,6.6,Jesen,Visoko,2,0,4.48,2.85,0.02
05.10.2008.,382.46,107.38,4.48,12.8,Jesen,Nisko,1,0,2.85,0.0,0.04
06.10.2008.,382.47,88.19,2.85,7.3,Jesen,Nisko,1,0,0.0,9.94,0.01
07.10.2008.,382.48,66.2,0.0,10.0,Jesen,Srednje,1,0,9.94,7.45,0.01
08.10.2008.,382.45,75.66,9.94,12.7,Jesen,Visoko,2,0,7.45,0.0,-0.03
09.10.2008.,382.47,74.27,7.45,11.2,Jesen,Nisko,1,0,0.0,12.26,0.02
